PLZ2,ZUST_BUNDESLAND_STAAT,KREIS
01067,Sachsen,"Dresden, Stadt"
01069,Sachsen,"Dresden, Stadt"
01097,Sachsen,"Dresden, Stadt"
01099,Sachsen,"Dresden, Stadt"
01109,Sachsen,"Dresden, Stadt"
01127,Sachsen,"Dresden, Stadt"
01129,Sachsen,"Dresden, Stadt"
01139,Sachsen,"Dresden, Stadt"
01157,Sachsen,"Dresden, Stadt"
01159,Sachsen,"Dresden, Stadt"
01169,Sachsen,"Dresden, Stadt"
01187,Sachsen,"Dresden, Stadt"
01189,Sachsen,"Dresden, Stadt"
01217,Sachsen,"Dresden, Stadt"
01219,Sachsen,"Dresden, Stadt"
01237,Sachsen,"Dresden, Stadt"
01239,Sachsen,"Dresden, Stadt"
01257,Sachsen,"Dresden, Stadt"
01259,Sachsen,"Dresden, Stadt"
01277,Sachsen,"Dresden, Stadt"
01279,Sachsen,"Dresden, Stadt"
01307,Sachsen,"Dresden, Stadt"
01309,Sachsen,"Dresden, Stadt"
01324,Sachsen,"Dresden, Stadt"
01326,Sachsen,"Dresden, Stadt"
01445,Sachsen,Meißen-Radebeul
01454,Sachsen,Kamenz
01458,Sachsen,Kamenz
01462,Sachsen,Meißen-Radebeul
01465,Sachsen,Kamenz
01468,Sachsen,Meißen-Radebeul
01471,Sachsen,Meißen-Radebeul
01474,Sachsen,Sächsische Schweiz
01477,Sachsen,Kamenz
01478,Sachsen,Kamenz
01558,Sachsen,Riesa-Großenhain
01561,Sachsen,Riesa-Großenhain
01587,Sachsen,Riesa-Großenhain
01589,Sachsen,Riesa-Großenhain
01591,Sachsen,Riesa-Großenhain
01594,Sachsen,Riesa-Großenhain
01609,Sachsen,Riesa-Großenhain
01612,Sachsen,Riesa-Großenhain
01616,Sachsen,Riesa-Großenhain
01619,Sachsen,Riesa-Großenhain
01623,Sachsen,Meißen-Radebeul
01640,Sachsen,Meißen-Radebeul
01662,Sachsen,Meißen-Radebeul
01665,Sachsen,Meißen-Radebeul
01683,Sachsen,Meißen-Radebeul
01689,Sachsen,Meißen-Radebeul
01705,Sachsen,Weißeritzkreis
01723,Sachsen,Meißen-Radebeul
01728,Sachsen,Weißeritzkreis
01731,Sachsen,Weißeritzkreis
01734,Sachsen,Weißeritzkreis
01737,Sachsen,Weißeritzkreis
01738,Sachsen,Weißeritzkreis
01744,Sachsen,Weißeritzkreis
01762,Sachsen,Weißeritzkreis
01768,Sachsen,Weißeritzkreis
01773,Sachsen,Weißeritzkreis
01774,Sachsen,Weißeritzkreis
01776,Sachsen,Weißeritzkreis
01778,Sachsen,Weißeritzkreis
01796,Sachsen,Sächsische Schweiz
01809,Sachsen,Sächsische Schweiz
01814,Sachsen,Sächsische Schweiz
01816,Sachsen,Sächsische Schweiz
01819,Sachsen,Sächsische Schweiz
01824,Sachsen,Sächsische Schweiz
01825,Sachsen,Sächsische Schweiz
01827,Sachsen,Sächsische Schweiz
01829,Sachsen,Sächsische Schweiz
01833,Sachsen,Sächsische Schweiz
01844,Sachsen,Sächsische Schweiz
01847,Sachsen,Sächsische Schweiz
01848,Sachsen,Sächsische Schweiz
01855,Sachsen,Sächsische Schweiz
01877,Sachsen,Bautzen
01896,Sachsen,Kamenz
01900,Sachsen,Kamenz
01904,Sachsen,Bautzen
01906,Sachsen,Bautzen
01909,Sachsen,Bautzen
01917,Sachsen,Kamenz
01920,Sachsen,Kamenz
01936,Sachsen,Kamenz
01945,Brandenburg,Oberspreewald-Lausitz
01968,Brandenburg,Oberspreewald-Lausitz
01979,Brandenburg,Oberspreewald-Lausitz
01983,Brandenburg,Oberspreewald-Lausitz
01987,Brandenburg,Oberspreewald-Lausitz
01990,Brandenburg,Oberspreewald-Lausitz
01993,Brandenburg,Oberspreewald-Lausitz
01994,Brandenburg,Oberspreewald-Lausitz
01996,Brandenburg,Oberspreewald-Lausitz
01998,Brandenburg,Oberspreewald-Lausitz
02625,Sachsen,Bautzen
02627,Sachsen,Bautzen
02633,Sachsen,Bautzen
02681,Sachsen,Bautzen
02689,Sachsen,Bautzen
02692,Sachsen,Bautzen
02694,Sachsen,Bautzen
02699,Sachsen,Bautzen
02708,Sachsen,Löbau-Zittau
02727,Sachsen,Löbau-Zittau
02730,Sachsen,Löbau-Zittau
02733,Sachsen,Bautzen
02736,Sachsen,Löbau-Zittau
02739,Sachsen,Löbau-Zittau
02742,Sachsen,Löbau-Zittau
02744,Sachsen,Löbau-Zittau
02747,Sachsen,Löbau-Zittau
02748,Sachsen,Löbau-Zittau
02763,Sachsen,Löbau-Zittau
02779,Sachsen,Löbau-Zittau
02782,Sachsen,Löbau-Zittau
02785,Sachsen,Löbau-Zittau
02788,Sachsen,Löbau-Zittau
02791,Sachsen,Löbau-Zittau
02794,Sachsen,Löbau-Zittau
02796,Sachsen,Löbau-Zittau
02797,Sachsen,Löbau-Zittau
02799,Sachsen,Löbau-Zittau
02826,Sachsen,"Görlitz, Stadt"
02827,Sachsen,"Görlitz, Stadt"
02828,Sachsen,"Görlitz, Stadt"
02829,Sachsen,Niederschlesischer Oberlausitzkreis
02894,Sachsen,Niederschlesischer Oberlausitzkreis
02899,Sachsen,Löbau-Zittau
02906,Sachsen,Niederschlesischer Oberlausitzkreis
02923,Sachsen,Niederschlesischer Oberlausitzkreis
02929,Sachsen,Niederschlesischer Oberlausitzkreis
02943,Sachsen,Niederschlesischer Oberlausitzkreis
02953,Sachsen,Niederschlesischer Oberlausitzkreis
02956,Sachsen,Niederschlesischer Oberlausitzkreis
02957,Sachsen,Niederschlesischer Oberlausitzkreis
02959,Sachsen,Niederschlesischer Oberlausitzkreis
02977,Sachsen,"Hoyerswerda, Stadt"
02979,Sachsen,"Hoyerswerda, Stadt"
02991,Sachsen,Kamenz
02994,Sachsen,Kamenz
02997,Sachsen,Kamenz
02999,Sachsen,Kamenz
03042,Brandenburg,"Cottbus, Stadt"
03044,Brandenburg,"Cottbus, Stadt"
03046,Brandenburg,"Cottbus, Stadt"
03048,Brandenburg,"Cottbus, Stadt"
03050,Brandenburg,"Cottbus, Stadt"
03051,Brandenburg,"Cottbus, Stadt"
03052,Brandenburg,"Cottbus, Stadt"
03053,Brandenburg,"Cottbus, Stadt"
03054,Brandenburg,"Cottbus, Stadt"
03055,Brandenburg,"Cottbus, Stadt"
03058,Brandenburg,Spree-Neiße
03096,Brandenburg,Spree-Neiße
03099,Brandenburg,Spree-Neiße
03103,Brandenburg,Oberspreewald-Lausitz
03116,Brandenburg,Spree-Neiße
03119,Brandenburg,Spree-Neiße
03130,Brandenburg,Spree-Neiße
