,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
   Dossier Number  ,      Designation        , Country , ISO ,   Status   ,   Type    , Last relevant date ,   Product Categrory   ,      Latin Transcription     , Submission date , Publication date , Registration date , 1st Amendment date , 2nd Amendment date , 3rd Amendment date 
PL/PGI/0005/02154,Kiełbasa piaszczańska,Poland,PL,Registered,PGI,21/11/2017,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,15/07/2016,29/06/2017,21/11/2017,,,
HR/PGI/0005/01216,Slavonski kulen / Slavonski kulin,Croatia,HR,Registered,PGI,07/11/2017,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,20/03/2014,12/11/2015,07/11/2017,,,
BE/PGI/0005/01222,Saucisson d’Ardenne / Collier d’Ardenne / Pipe d’Ardenne,Belgium,BE,Registered,PGI,27/10/2017,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,08/05/2014,03/06/2015,27/10/2017,,,
FR/PDO/0005/02165,Kintoa,France,FR,Registered,PDO,21/10/2017,Class 1.1. Fresh meat (and offal),,31/08/2016,23/03/2017,21/10/2017,,,
DK/PGI/0005/00830,Danbo,Denmark,DK,Registered,PGI,19/10/2017,Class 1.3. Cheeses,,05/10/2010,02/02/2012,19/10/2017,,,
HR/PDO/0005/01132,Varaždinsko zelje,Croatia,HR,Registered,PDO,19/10/2017,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,25/06/2013,08/07/2015,19/10/2017,,,
ES/PGI/0005/01355,Capón de Vilalba,Spain,ES,Registered,PGI,10/10/2017,Class 1.1. Fresh meat (and offal),,24/07/2015,14/06/2017,10/10/2017,,,
IT/PDO/0005/02093,Ossolano,Italy,IT,Registered,PDO,04/10/2017,Class 1.3. Cheeses,,24/11/2015,10/06/2017,04/10/2017,,,
NO/PGI/0005/01360,Fenalår fra Norge,Norway,NO,Registered,PGI,26/09/2017,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,27/08/2015,03/06/2017,26/09/2017,,,
FR/PDO/0005/02105,Jambon noir de Bigorre,France,FR,Registered,PDO,15/09/2017,Class 1.1. Fresh meat (and offal),,14/01/2016,12/05/2017,15/09/2017,,,
